layer,head,head_id,correlation,rank
25,19,L25H19,0.05493204484028756,484
22,18,L22H18,0.054842677499394296,485
14,31,L14H31,0.05469943245218574,486
32,21,L32H21,0.05469378666509206,487
11,11,L11H11,0.054587630067666405,488
12,13,L12H13,0.05455768534522167,489
34,15,L34H15,0.05427539836117053,490
30,18,L30H18,0.0536307085253541,491
2,6,L2H6,0.053351879486720086,492
27,26,L27H26,0.05333113031744613,493
17,20,L17H20,0.0530857208956664,494
6,19,L6H19,0.05234313485132226,495
32,13,L32H13,0.05228030607294604,496
29,24,L29H24,0.05217077419087492,497
15,26,L15H26,0.05117332188169502,498
9,25,L9H25,0.05092791210865002,499
35,0,L35H0,0.05088628422220111,500
1,7,L1H7,0.050426169067496494,501
23,3,L23H3,0.05018620178294032,502
29,30,L29H30,0.049865163145867517,503
15,29,L15H29,0.049771022766791864,504
28,2,L28H2,0.04968212986369504,505
5,14,L5H14,0.049613417398407925,506
28,1,L28H1,0.049507212125348074,507
9,2,L9H2,0.04902433831981307,508
15,22,L15H22,0.04883198915752387,509
32,4,L32H4,0.048718673240132467,510
15,1,L15H1,0.04844777497578963,511
5,23,L5H23,0.04819772749670254,512
30,7,L30H7,0.04788885260612102,513
32,14,L32H14,0.04786543465398145,514
25,23,L25H23,0.04781870718718856,515
5,24,L5H24,0.04761316403562483,516
29,19,L29H19,0.047611113967683444,517
16,5,L16H5,0.04756180751373778,518
33,27,L33H27,0.047449281237891563,519
17,9,L17H9,0.04698116053587185,520
30,16,L30H16,0.046363000414964044,521
25,28,L25H28,0.04587569313862523,522
28,12,L28H12,0.045792039390593856,523
9,7,L9H7,0.04575512679685921,524
28,27,L28H27,0.045741825292673934,525
22,16,L22H16,0.04566619855399762,526
6,18,L6H18,0.04566343281920217,527
9,9,L9H9,0.04559908791054199,528
13,25,L13H25,0.04516433431017815,529
4,15,L4H15,0.04442771388366451,530
3,27,L3H27,0.04441713594892008,531
31,10,L31H10,0.04424636198696073,532
19,22,L19H22,0.043915161196991674,533
22,26,L22H26,0.043659714147325245,534
26,25,L26H25,0.04349691057713431,535
35,19,L35H19,0.04343933949775362,536
15,30,L15H30,0.04334817707643882,537
33,16,L33H16,0.042806768735592034,538
2,27,L2H27,0.042779346459641494,539
24,25,L24H25,0.04271666082404767,540
22,31,L22H31,0.04266901652138845,541
33,30,L33H30,0.042160188089865394,542
34,27,L34H27,0.04211150778079884,543
30,3,L30H3,0.04204111422478183,544
7,7,L7H7,0.04193270312128347,545
12,2,L12H2,0.04169871736698999,546
16,11,L16H11,0.04095183170003157,547
5,18,L5H18,0.04078303694884519,548
6,0,L6H0,0.04033567862707953,549
4,20,L4H20,0.04010645546115258,550
29,22,L29H22,0.03990908548720219,551
0,5,L0H5,0.03971965758238905,552
35,14,L35H14,0.039573013462250145,553
8,11,L8H11,0.03952395563634253,554
30,11,L30H11,0.039513847466017604,555
32,16,L32H16,0.03945037427720936,556
5,29,L5H29,0.03939274819058504,557
0,2,L0H2,0.039248831993915025,558
16,30,L16H30,0.03921722941843035,559
17,8,L17H8,0.03919505175653526,560
8,25,L8H25,0.03913829150627481,561
33,14,L33H14,0.039018905664102384,562
14,20,L14H20,0.038681556935782714,563
10,3,L10H3,0.03847826816429299,564
34,19,L34H19,0.038281176494330243,565
12,20,L12H20,0.03827525844743391,566
33,20,L33H20,0.038238810153969925,567
7,4,L7H4,0.03815431551153255,568
33,21,L33H21,0.03814169800096665,569
27,7,L27H7,0.03794396256226028,570
28,4,L28H4,0.03790551984102771,571
7,12,L7H12,0.03718541659041208,572
31,15,L31H15,0.03678215876088827,573
1,22,L1H22,0.03668421191225287,574
29,8,L29H8,0.036675236059546264,575
19,5,L19H5,0.03646659485363793,576
12,15,L12H15,0.03644547907553007,577
12,0,L12H0,0.036252190732555194,578
34,4,L34H4,0.03618093436278373,579
23,24,L23H24,0.03608459465417574,580
31,27,L31H27,0.03581396845935105,581
5,11,L5H11,0.03580086939260015,582
30,1,L30H1,0.035787398199920425,583
27,8,L27H8,0.035787397734371465,584
14,22,L14H22,0.0355123217166366,585
0,17,L0H17,0.03515092867923425,586
34,20,L34H20,0.03503765595684843,587
5,16,L5H16,0.03491923072595796,588
35,12,L35H12,0.03481265277891118,589
31,14,L31H14,0.03481070642694701,590
29,6,L29H6,0.03452998290076247,591
26,14,L26H14,0.03441412360324456,592
28,15,L28H15,0.03429744012737056,593
7,5,L7H5,0.033941990535918606,594
25,5,L25H5,0.033908929238509876,595
30,6,L30H6,0.03369020829040112,596
3,12,L3H12,0.03362416401397466,597
1,5,L1H5,0.03347480996566121,598
28,24,L28H24,0.03341389135282077,599
23,0,L23H0,0.033093903262096123,600
23,2,L23H2,0.033066127359234726,601
5,7,L5H7,0.032957654828235906,602
20,25,L20H25,0.03275050815560189,603
9,28,L9H28,0.03262657127777578,604
